state_fips,year,state_abbr,state_name,census_region,census_division
11,2014,DC,District of Columbia,South,South Atlantic
11,2015,DC,District of Columbia,South,South Atlantic
11,2016,DC,District of Columbia,South,South Atlantic
11,2017,DC,District of Columbia,South,South Atlantic
11,2018,DC,District of Columbia,South,South Atlantic
11,2019,DC,District of Columbia,South,South Atlantic
11,2020,DC,District of Columbia,South,South Atlantic
11,2021,DC,District of Columbia,South,South Atlantic
11,2022,DC,District of Columbia,South,South Atlantic
11,2023,DC,District of Columbia,South,South Atlantic
12,2008,FL,Florida,South,South Atlantic
12,2009,FL,Florida,South,South Atlantic
12,2010,FL,Florida,South,South Atlantic
12,2011,FL,Florida,South,South Atlantic
12,2012,FL,Florida,South,South Atlantic
12,2013,FL,Florida,South,South Atlantic
12,2014,FL,Florida,South,South Atlantic
12,2015,FL,Florida,South,South Atlantic
12,2016,FL,Florida,South,South Atlantic
12,2017,FL,Florida,South,South Atlantic
12,2018,FL,Florida,South,South Atlantic
12,2019,FL,Florida,South,South Atlantic
12,2020,FL,Florida,South,South Atlantic
12,2021,FL,Florida,South,South Atlantic
12,2022,FL,Florida,South,South Atlantic
12,2023,FL,Florida,South,South Atlantic
13,2008,GA,Georgia,South,South Atlantic
13,2009,GA,Georgia,South,South Atlantic
13,2010,GA,Georgia,South,South Atlantic
13,2011,GA,Georgia,South,South Atlantic
13,2012,GA,Georgia,South,South Atlantic
13,2013,GA,Georgia,South,South Atlantic
13,2014,GA,Georgia,South,South Atlantic
13,2015,GA,Georgia,South,South Atlantic
13,2016,GA,Georgia,South,South Atlantic
13,2017,GA,Georgia,South,South Atlantic
13,2018,GA,Georgia,South,South Atlantic
13,2019,GA,Georgia,South,South Atlantic
13,2020,GA,Georgia,South,South Atlantic
13,2021,GA,Georgia,South,South Atlantic
13,2022,GA,Georgia,South,South Atlantic
13,2023,GA,Georgia,South,South Atlantic
15,2008,HI,Hawaii,West,Pacific
15,2009,HI,Hawaii,West,Pacific
15,2010,HI,Hawaii,West,Pacific
15,2011,HI,Hawaii,West,Pacific
15,2012,HI,Hawaii,West,Pacific
15,2013,HI,Hawaii,West,Pacific
15,2014,HI,Hawaii,West,Pacific
15,2015,HI,Hawaii,West,Pacific
15,2016,HI,Hawaii,West,Pacific
15,2017,HI,Hawaii,West,Pacific
15,2018,HI,Hawaii,West,Pacific
15,2019,HI,Hawaii,West,Pacific
15,2020,HI,Hawaii,West,Pacific
15,2021,HI,Hawaii,West,Pacific
15,2022,HI,Hawaii,West,Pacific
15,2023,HI,Hawaii,West,Pacific
16,2008,ID,Idaho,West,Mountain
16,2009,ID,Idaho,West,Mountain
16,2010,ID,Idaho,West,Mountain
16,2011,ID,Idaho,West,Mountain
16,2012,ID,Idaho,West,Mountain
16,2013,ID,Idaho,West,Mountain
16,2014,ID,Idaho,West,Mountain
16,2015,ID,Idaho,West,Mountain
16,2016,ID,Idaho,West,Mountain
16,2017,ID,Idaho,West,Mountain
16,2018,ID,Idaho,West,Mountain
16,2019,ID,Idaho,West,Mountain
16,2020,ID,Idaho,West,Mountain
16,2021,ID,Idaho,West,Mountain
16,2022,ID,Idaho,West,Mountain
16,2023,ID,Idaho,West,Mountain
17,2008,IL,Illinois,Midwest,East North Central
17,2009,IL,Illinois,Midwest,East North Central
17,2010,IL,Illinois,Midwest,East North Central
17,2011,IL,Illinois,Midwest,East North Central
17,2012,IL,Illinois,Midwest,East North Central
17,2013,IL,Illinois,Midwest,East North Central
17,2014,IL,Illinois,Midwest,East North Central
17,2015,IL,Illinois,Midwest,East North Central
17,2016,IL,Illinois,Midwest,East North Central
17,2017,IL,Illinois,Midwest,East North Central
17,2018,IL,Illinois,Midwest,East North Central
17,2019,IL,Illinois,Midwest,East North Central
17,2020,IL,Illinois,Midwest,East North Central
17,2021,IL,Illinois,Midwest,East North Central
