state_fips,state_abbr,year,electric_bill_monthly,electric_bill_annual
01,AL,2008,132.15654543166235,1585.878545179948
01,AL,2009,131.4233946692268,1577.0807360307217
01,AL,2010,147.6894083017012,1772.2728996204146
01,AL,2011,142.4059273087918,1708.8711277055017
01,AL,2012,135.26334002331654,1623.1600802797984
01,AL,2013,136.35753055494052,1636.2903666592863
01,AL,2014,145.24896418547416,1742.98757022569
01,AL,2015,142.4831104814895,1709.797325777874
01,AL,2016,145.54516988143396,1746.5420385772077
01,AL,2017,142.55483847068476,1710.658061648217
01,AL,2018,150.54397782673806,1806.5277339208567
01,AL,2019,150.45259714519636,1805.4311657423564
01,AL,2020,143.95420172654414,1727.4504207185296
02,AK,2008,109.30168685335634,1311.6202422402762
02,AK,2009,112.12564953320111,1345.5077943984134
02,AK,2010,104.28770340300146,1251.4524408360176
02,AK,2011,114.41730112650856,1373.0076135181027
02,AK,2012,116.88967157459014,1402.6760588950817
02,AK,2013,114.56165659844318,1374.7398791813182
02,AK,2014,115.79459774444105,1389.5351729332926
02,AK,2015,119.64099730057177,1435.6919676068612
02,AK,2016,119.84425380686766,1438.131045682412
02,AK,2017,127.82773357788146,1533.9328029345775
02,AK,2018,125.56748491150945,1506.8098189381135
02,AK,2019,127.29066565268992,1527.487987832279
02,AK,2020,124.66001285923369,1495.9201543108043
04,AZ,2008,112.46540144214765,1349.5848173057718
04,AZ,2009,115.42005796035163,1385.0406955242195
04,AZ,2010,116.08797569610157,1393.0557083532187
04,AZ,2011,118.61873375612385,1423.4248050734861
04,AZ,2012,119.84008717899928,1438.0810461479914
04,AZ,2013,122.84882317498513,1474.1858780998216
04,AZ,2014,120.5059008786635,1446.070810543962
04,AZ,2015,124.67458072461822,1496.0949686954186
04,AZ,2016,125.188374530516,1502.260494366192
04,AZ,2017,128.39869818939079,1540.7843782726895
04,AZ,2018,131.3104625061246,1575.725550073495
04,AZ,2019,126.08897384663608,1513.067686159633
04,AZ,2020,136.6969071415098,1640.3628856981177
05,AR,2008,102.68615510782058,1232.233861293847
