state_fips,state_abbr,year,electric_bill_monthly,electric_bill_annual,construction_flag_electric,source_electric
25,MA,2022,149.9087961121422,1798.9055533457063,reconstructed_revenue_customers,EIA_HS861_2010
25,MA,2023,165.55442103922235,1986.6530524706682,reconstructed_revenue_customers,EIA_HS861_2010
26,MI,2021,117.57382582502288,1410.8859099002746,reconstructed_revenue_customers,EIA_HS861_2010
26,MI,2022,116.49027692712419,1397.8833231254903,reconstructed_revenue_customers,EIA_HS861_2010
26,MI,2023,113.61751143532831,1363.4101372239397,reconstructed_revenue_customers,EIA_HS861_2010
27,MN,2021,104.7599028363175,1257.1188340358099,reconstructed_revenue_customers,EIA_HS861_2010
27,MN,2022,110.1937688012017,1322.3252256144203,reconstructed_revenue_customers,EIA_HS861_2010
27,MN,2023,110.77936599134495,1329.3523918961394,reconstructed_revenue_customers,EIA_HS861_2010
28,MS,2021,135.30530972112084,1623.6637166534501,reconstructed_revenue_customers,EIA_HS861_2010
28,MS,2022,147.2476095609537,1766.9713147314442,reconstructed_revenue_customers,EIA_HS861_2010
28,MS,2023,153.06793791255453,1836.8152549506544,reconstructed_revenue_customers,EIA_HS861_2010
29,MO,2021,118.55463306327111,1422.6555967592533,reconstructed_revenue_customers,EIA_HS861_2010
29,MO,2022,126.46035626916249,1517.5242752299498,reconstructed_revenue_customers,EIA_HS861_2010
29,MO,2023,126.09498293099664,1513.1397951719596,reconstructed_revenue_customers,EIA_HS861_2010
30,MT,2021,97.84301659647446,1174.1161991576935,reconstructed_revenue_customers,EIA_HS861_2010
30,MT,2022,102.93946314806425,1235.273557776771,reconstructed_revenue_customers,EIA_HS861_2010
30,MT,2023,109.49531601996426,1313.9437922395712,reconstructed_revenue_customers,EIA_HS861_2010
31,NE,2021,108.08842806810969,1297.0611368173163,reconstructed_revenue_customers,EIA_HS861_2010
31,NE,2022,112.57086883184313,1350.8504259821175,reconstructed_revenue_customers,EIA_HS861_2010
31,NE,2023,111.52224646922467,1338.266957630696,reconstructed_revenue_customers,EIA_HS861_2010
32,NV,2021,110.17318823875934,1322.078258865112,reconstructed_revenue_customers,EIA_HS861_2010
32,NV,2022,129.35048609552902,1552.2058331463481,reconstructed_revenue_customers,EIA_HS861_2010
32,NV,2023,145.62453078442238,1747.4943694130684,reconstructed_revenue_customers,EIA_HS861_2010
33,NH,2021,125.24147417930114,1502.8976901516137,reconstructed_revenue_customers,EIA_HS861_2010
33,NH,2022,158.6745116949513,1904.0941403394154,reconstructed_revenue_customers,EIA_HS861_2010
33,NH,2023,168.78565456015158,2025.4278547218191,reconstructed_revenue_customers,EIA_HS861_2010
34,NJ,2021,112.38686359831995,1348.6423631798393,reconstructed_revenue_customers,EIA_HS861_2010
34,NJ,2022,114.07660056624339,1368.9192067949207,reconstructed_revenue_customers,EIA_HS861_2010
34,NJ,2023,113.20920570904975,1358.5104685085971,reconstructed_revenue_customers,EIA_HS861_2010
35,NM,2021,87.30556208617871,1047.6667450341445,reconstructed_revenue_customers,EIA_HS861_2010
35,NM,2022,91.21088456053155,1094.5306147263786,reconstructed_revenue_customers,EIA_HS861_2010
35,NM,2023,91.19509898558094,1094.3411878269712,reconstructed_revenue_customers,EIA_HS861_2010
36,NY,2021,116.70178829762233,1400.421459571468,reconstructed_revenue_customers,EIA_HS861_2010
36,NY,2022,130.81134338728023,1569.736120647363,reconstructed_revenue_customers,EIA_HS861_2010
36,NY,2023,125.80141443282663,1509.6169731939196,reconstructed_revenue_customers,EIA_HS861_2010
37,NC,2021,120.37747588345418,1444.5297106014502,reconstructed_revenue_customers,EIA_HS861_2010
37,NC,2022,124.4848449650559,1493.8181395806707,reconstructed_revenue_customers,EIA_HS861_2010
37,NC,2023,127.79368243466132,1533.5241892159358,reconstructed_revenue_customers,EIA_HS861_2010
38,ND,2021,112.92631300999983,1355.115756119998,reconstructed_revenue_customers,EIA_HS861_2010
38,ND,2022,122.20488190180141,1466.458582821617,reconstructed_revenue_customers,EIA_HS861_2010
38,ND,2023,117.69075430841701,1412.2890517010042,reconstructed_revenue_customers,EIA_HS861_2010
39,OH,2021,112.21318044400158,1346.558165328019,reconstructed_revenue_customers,EIA_HS861_2010
39,OH,2022,121.0719781321763,1452.8637375861156,reconstructed_revenue_customers,EIA_HS861_2010
39,OH,2023,124.68369356949141,1496.2043228338969,reconstructed_revenue_customers,EIA_HS861_2010
40,OK,2021,119.69454803764874,1436.3345764517849,reconstructed_revenue_customers,EIA_HS861_2010
40,OK,2022,143.64681565033587,1723.7617878040305,reconstructed_revenue_customers,EIA_HS861_2010
40,OK,2023,129.10178009219499,1549.2213611063398,reconstructed_revenue_customers,EIA_HS861_2010
41,OR,2021,106.48610166562919,1277.8332199875504,reconstructed_revenue_customers,EIA_HS861_2010
41,OR,2022,108.03008583175546,1296.3610299810655,reconstructed_revenue_customers,EIA_HS861_2010
41,OR,2023,117.65842248007566,1411.9010697609078,reconstructed_revenue_customers,EIA_HS861_2010
42,PA,2021,117.1124282889936,1405.3491394679231,reconstructed_revenue_customers,EIA_HS861_2010
42,PA,2022,136.17323650038833,1634.07883800466,reconstructed_revenue_customers,EIA_HS861_2010
