state_fips,year,state_abbr,state_name,census_region,census_division,min_wage_nominal,min_wage_annual_avg,federal_min_wage,binding_min_wage,annualized_mw_income,contract_rent_monthly,gross_rent_monthly,contract_rent_annual,gross_rent_annual,tfp_national_monthly,tfp_national_annual,rpp_goods_index,food_reconstructed_annual,construction_flag_food,electric_bill_monthly,electric_bill_annual,gas_price_per_mcf,gas_bill_monthly,gas_bill_annual,construction_flag_gas,poverty_rate,median_hh_income,rpp_all,rpp_rents,survival_line_nominal_main,survival_line_nominal_grossrent,survival_line_nominal_no_gas,mw_survival_gap_main,mw_survival_ratio_main,mw_survival_gap_grossrent,mw_survival_ratio_grossrent,mw_survival_gap_no_gas,mw_survival_ratio_no_gas,quality_flag
04,2015,AZ,Arizona,West,Mountain,8.050000190734863,8.050000190734863,7.25,8.050000190734863,16744.000396728516,791.0,933.0,9492.0,11196.0,560.4,6724.799999999999,98.517,6625.071215999999,reconstructed,124.67458072461822,1496.0949686954186,17.04,85.19999999999999,1022.4,estimated_from_price,17.4,51492.0,97.865,93.772,18635.56618469542,17821.071216,17613.16618469542,-1891.5657879669052,0.8984970046404941,-1077.0708192714847,0.9395619485373878,-869.1657879669037,0.9506524960445699,ok
04,2016,AZ,Arizona,West,Mountain,8.050000190734863,8.050000190734863,7.25,8.050000190734863,16744.000396728516,824.0,976.0,9888.0,11712.0,556.0,6672.0,97.834,6527.48448,reconstructed,125.188374530516,1502.260494366192,15.28,76.39999999999999,916.8,estimated_from_price,16.4,53558.0,98.622,92.448,18834.544974366192,18239.48448,17917.744974366193,-2090.5445776376764,0.8890047739150106,-1495.4840832714835,0.9180084237078457,-1173.7445776376771,0.9344926172731624,ok
04,2017,AZ,Arizona,West,Mountain,10.0,10.0,7.25,10.0,20800.0,858.0,1020.0,10296.0,12240.0,563.8,6765.599999999999,97.225,6577.854599999999,reconstructed,128.3986981893908,1540.7843782726895,15.78,78.89999999999999,946.8,estimated_from_price,14.9,56581.0,97.915,93.527,19361.438978272687,18817.8546,18414.638978272687,1438.5610217273133,1.0743003153506132,1982.1454000000012,1.105333229644574,2385.3610217273126,1.1295361274549984,ok
04,2018,AZ,Arizona,West,Mountain,10.5,10.5,7.25,10.5,21840.0,884.0,1036.0,10608.0,12432.0,570.0,6840.0,95.865,6557.166,reconstructed,131.3104625061246,1575.725550073495,15.35,76.75,921.0,estimated_from_price,14.0,59246.0,97.381,94.255,19661.891550073495,18989.166,18740.891550073495,2178.1084499265053,1.1107781743368614,2850.833999999999,1.1501295001581426,3099.1084499265053,1.1653661162088285,ok
04,2019,AZ,Arizona,West,Mountain,11.0,11.0,7.25,11.0,22880.0,939.0,1101.0,11268.0,13212.0,577.0,6924.0,96.004,6647.31696,reconstructed,126.08897384663608,1513.067686159633,13.46,67.30000000000001,807.6,estimated_from_price,13.5,62055.0,97.779,93.582,20235.98464615963,19859.31696,19428.384646159633,2644.0153538403683,1.1306590907273764,3020.68304,1.1521040751846683,3451.615353840367,1.1776583805963838,ok
04,2020,AZ,Arizona,West,Mountain,12.0,12.0,7.25,12.0,24960.0,,,,,602.0,7224.0,100.076,7229.490239999999,reconstructed,136.6969071415098,1640.3628856981177,13.1,65.5,786.0,estimated_from_price,,,99.203,97.944,,,,,,,,,,acs_2020_missing
04,2021,AZ,Arizona,West,Mountain,12.149999618530272,12.149999618530272,7.25,12.149999618530272,25271.99920654297,1099.0,1253.0,13188.0,15036.0,835.57,10026.84,95.069,9532.4165196,reconstructed,,,15.52,77.6,931.2,estimated_from_price,12.8,69056.0,96.6,102.346,,24568.4165196,,,,703.5826869429693,1.0286376896281317,,,ok
04,2022,AZ,Arizona,West,Mountain,12.800000190734863,12.800000190734863,7.25,12.800000190734863,26624.00039672852,1291.0,1450.0,15492.0,17400.0,939.4,11272.8,98.094,11057.940431999998,reconstructed,,,17.81,89.05,1068.6,estimated_from_price,12.5,74568.0,99.992,106.244,,28457.940431999996,,,,-1833.9400352714765,0.9355561222129317,,,ok
04,2023,AZ,Arizona,West,Mountain,,,,,,1438.0,1608.0,17256.0,19296.0,975.5,11706.0,97.941,11464.97346,reconstructed,,,19.44,97.2,1166.4,estimated_from_price,12.4,77315.0,100.742,108.561,,30760.97346,,,,,,,,ok
05,2008,AR,Arkansas,South,West South Central,6.550000190734863,6.381967067718506,6.55,6.550000190734863,13624.000396728516,435.0,606.0,5220.0,7272.0,512.6,6151.200000000001,95.942,5901.584304,reconstructed,102.68615510782058,1232.233861293847,14.09,70.45,845.4,estimated_from_price,,38815.0,88.096,58.671,13199.218165293847,13173.584304,12353.818165293847,424.7822314346686,1.0321823782374926,450.41609272851565,1.0341908536306061,1270.1822314346682,1.102816976455348,ok
