State FIPS Code,Name,State Abbreviation,Year,Annual Federal Minimum,Annual State Minimum,Annual Federal Average,Annual State Average,Annual Federal Maximum,Annual State Maximum
2,Alaska,AK,1974,2.0,2.5,2.0,2.5,2.0,2.5
2,Alaska,AK,1975,2.1,2.5999999046325684,2.100000000000014,2.5999999046325684,2.1,2.5999999046325684
2,Alaska,AK,1976,2.3000000000000003,2.799999952316284,2.299999999999987,2.799999952316284,2.3000000000000003,2.799999952316284
2,Alaska,AK,1977,2.3000000000000003,2.799999952316284,2.2999999999999874,2.799999952316284,2.3000000000000003,2.799999952316284
2,Alaska,AK,1978,2.65,2.799999952316284,2.6499999999999844,3.0934247970581055,2.65,3.1500000953674316
2,Alaska,AK,1979,2.9,3.4000000953674316,2.8999999999999875,3.4000000953674316,2.9,3.4000000953674316
2,Alaska,AK,1980,3.1,3.5999999046325684,3.1000000000000054,3.5999999046325684,3.1,3.5999999046325684
2,Alaska,AK,1981,3.35,3.8499999046325684,3.3499999999999988,3.8499999046325684,3.35,3.8499999046325684
2,Alaska,AK,1982,3.35,3.8499999046325684,3.3499999999999988,3.8499999046325684,3.35,3.8499999046325684
2,Alaska,AK,1983,3.35,3.8499999046325684,3.3499999999999988,3.8499999046325684,3.35,3.8499999046325684
2,Alaska,AK,1984,3.35,3.8499999046325684,3.3499999999999983,3.8499999046325684,3.35,3.8499999046325684
2,Alaska,AK,1985,3.35,3.8499999046325684,3.3499999999999988,3.8499999046325684,3.35,3.8499999046325684
2,Alaska,AK,1986,3.35,3.8499999046325684,3.3499999999999988,3.8499999046325684,3.35,3.8499999046325684
2,Alaska,AK,1987,3.35,3.8499999046325684,3.3499999999999988,3.8499999046325684,3.35,3.8499999046325684
2,Alaska,AK,1988,3.35,3.8499999046325684,3.3499999999999983,3.8499999046325684,3.35,3.8499999046325684
2,Alaska,AK,1989,3.35,3.8499999046325684,3.3499999999999988,3.8499999046325684,3.35,3.8499999046325684
2,Alaska,AK,1990,3.35,3.8499999046325684,3.6890410958903854,4.1890411376953125,3.8000000000000003,4.300000190734863
2,Alaska,AK,1991,3.8000000000000003,4.300000190734863,4.139041095890412,4.639040946960449,4.25,4.75
2,Alaska,AK,1992,4.25,4.75,4.25,4.75,4.25,4.75
2,Alaska,AK,1993,4.25,4.75,4.25,4.75,4.25,4.75
2,Alaska,AK,1994,4.25,4.75,4.25,4.75,4.25,4.75
2,Alaska,AK,1995,4.25,4.75,4.25,4.75,4.25,4.75
2,Alaska,AK,1996,4.25,4.75,4.3756830601092895,4.875682830810547,4.75,5.25
2,Alaska,AK,1997,4.75,5.25,4.883698630137017,5.383698463439941,5.15,5.650000095367432
2,Alaska,AK,1998,5.15,5.650000095367432,5.150000000000033,5.650000095367432,5.15,5.650000095367432
2,Alaska,AK,1999,5.15,5.650000095367432,5.150000000000033,5.650000095367432,5.15,5.650000095367432
2,Alaska,AK,2000,5.15,5.650000095367432,5.150000000000033,5.650000095367432,5.15,5.650000095367432
2,Alaska,AK,2001,5.15,5.650000095367432,5.150000000000033,5.650000095367432,5.15,5.650000095367432
2,Alaska,AK,2002,5.15,5.650000095367432,5.150000000000033,5.650000095367432,5.15,5.650000095367432
2,Alaska,AK,2003,5.15,7.150000095367432,5.150000000000033,7.150000095367432,5.15,7.150000095367432
2,Alaska,AK,2004,5.15,7.150000095367432,5.150000000000033,7.150000095367432,5.15,7.150000095367432
2,Alaska,AK,2005,5.15,7.150000095367432,5.150000000000033,7.150000095367432,5.15,7.150000095367432
2,Alaska,AK,2006,5.15,7.150000095367432,5.150000000000033,7.150000095367432,5.15,7.150000095367432
2,Alaska,AK,2007,5.15,7.150000095367432,5.4587671232876716,7.150000095367432,5.8500000000000005,7.150000095367432
2,Alaska,AK,2008,5.8500000000000005,7.150000095367432,6.157923497267728,7.150000095367432,6.55,7.150000095367432
2,Alaska,AK,2009,6.55,7.150000095367432,6.858767123287659,7.1941094398498535,7.25,7.25
2,Alaska,AK,2010,7.25,7.75,7.25,7.75,7.25,7.75
2,Alaska,AK,2011,7.25,7.75,7.25,7.75,7.25,7.75
2,Alaska,AK,2012,7.25,7.75,7.25,7.75,7.25,7.75
2,Alaska,AK,2013,7.25,7.75,7.25,7.75,7.25,7.75
2,Alaska,AK,2014,7.25,7.75,7.25,7.75,7.25,7.75
2,Alaska,AK,2015,7.25,8.75,7.25,8.75,7.25,8.75
2,Alaska,AK,2016,7.25,9.75,7.25,9.75,7.25,9.75
2,Alaska,AK,2017,7.25,9.800000190734863,7.25,9.800000190734863,7.25,9.800000190734863
2,Alaska,AK,2018,7.25,9.84000015258789,7.25,9.84000015258789,7.25,9.84000015258789
2,Alaska,AK,2019,7.25,9.890000343322754,7.25,9.890000343322754,7.25,9.890000343322754
2,Alaska,AK,2020,7.25,10.1899995803833,7.25,10.1899995803833,7.25,10.1899995803833
2,Alaska,AK,2021,7.25,10.34000015258789,7.25,10.34000015258789,7.25,10.34000015258789
2,Alaska,AK,2022,7.25,10.34000015258789,7.25,10.34000015258789,7.25,10.34000015258789
1,Alabama,AL,1974,2.0,2.0,2.0,2.0,2.0,2.0
1,Alabama,AL,1975,2.1,2.0999999046325684,2.100000000000014,2.0999999046325684,2.1,2.0999999046325684
1,Alabama,AL,1976,2.3000000000000003,2.299999952316284,2.299999999999987,2.299999952316284,2.3000000000000003,2.299999952316284
1,Alabama,AL,1977,2.3000000000000003,2.299999952316284,2.2999999999999874,2.299999952316284,2.3000000000000003,2.299999952316284
